"Site","Shannon","Simpson"
"site1",0.723747792647605,0.190347720687326
"site10",2.16103809159688,0.701156342049194
"site101",0.722596533844117,0.195077701214931
"site102",1.05119381615118,0.290317677119922
"site103",1.14313906422653,0.314364442301301
"site105",0.959969346314283,0.259193342842295
"site106",1.85416085744229,0.547571011068615
"site107",0.672867318465557,0.175678941830897
"site108",1.55695959547973,0.461367911527556
"site11",1.19975318771233,0.329034620774692
"site112",1.42627870290977,0.402344325049043
"site113",1.5729513111009,0.485408056956545
"site114",1.05326910354819,0.291711173889755
"site117",1.393142256518,0.393573732882612
"site119",0.806931559784516,0.220218134435904
"site12",1.63536350893538,0.476335756241268
"site120",1.53709104245605,0.531286228145027
"site13",1.5964039943087,0.476946151191573
"site14",1.25615713902431,0.353435047750696
"site15",0.753865263946773,0.199910835412654
"site16",0.850813299666527,0.247415604273694
"site17",1.95431293327458,0.590263026135626
"site18",1.57764805443898,0.441084409483701
"site19",1.73512986881797,0.487300096322243
"site2",0.889375948388998,0.238969182889763
"site20",1.04114464755695,0.285421949935512
"site21",1.18831162911536,0.353972804423554
"site22",0.656004400200106,0.175067220332631
"site23",1.46213605198811,0.451831380787373
"site24",1.95004705965052,0.588605224826878
"site25",1.05023318175147,0.347675991278255
"site26",1.51530066767692,0.486769515680015
"site27",2.09034283471699,0.596885394321809
"site28",1.20629189681542,0.338422076521674
"site29",2.18002102772094,0.628723237634231
"site3",1.34393926288744,0.494609919446121
"site30",2.34907887659641,0.676500188383767
"site31",2.47058118902741,0.699342767366425
"site32",1.23884136816422,0.346332325095703
"site33",1.38242136571839,0.390655858885109
"site34",1.92102483154289,0.561675147485279
"site37",0.813709361954829,0.221830232813476
"site38",1.31810451486793,0.414962697142614
"site39",2.08542557415463,0.666258537030143
"site4",0.909811663192913,0.248964900278915
"site40",2.50602166418628,0.702772290025311
"site41",2.18796513230255,0.6511937061468
"site42",1.67588126918814,0.488656756957804
"site43",0.79873780269736,0.216346216866149
"site44",1.96497147852494,0.58439237769328
"site45",1.03281638168123,0.286706684026685
"site46",2.66689934666884,0.733165297735897
"site47",2.48444576528352,0.713623975987396
"site48",1.4924590481127,0.449289551618121
"site5",1.39546773707849,0.392487554563811
"site50",2.00170343202704,0.610132778177356
"site51",0.874788264945784,0.244467186220658
"site52",1.13311659412945,0.315423522145068
"site53",1.08834669676813,0.301780741161565
"site54",1.93397334040773,0.562693725006455
"site55",1.71887809679811,0.479321810299418
"site56",0.735868594037401,0.200578469534468
"site57",1.22724965823397,0.37270317401184
"site58",1.43949739769543,0.460700040757844
"site59",1.37874238662613,0.38166499622445
"site60",0.766704551403358,0.204900032266016
"site61",2.0158381631714,0.582088616140186
"site62",1.04682760914646,0.308850693261843
"site63",1.06710978658117,0.296042060848286
"site64",1.22780157624702,0.418091137632653
"site65",1.73977446425161,0.55462720138148
"site66",0.804568513112869,0.219371143403325
"site67",1.56888872190323,0.44718647438042
"site68",2.1397582680664,0.593857957557888
"site7",1.77261193131461,0.527316916887076
"site8",1.46258790263583,0.476757391076576
"site9",1.42189983507579,0.397680433347066
